csat_id,date,work_type,team_id,customer_segment,csat_score,feedback_theme
CSAT_000130,2026-03-19,audio_evaluation,TEAM_APAC_AUDIO_01,enterprise,3.9,calibration
CSAT_000131,2026-05-08,audio_evaluation,TEAM_APAC_AUDIO_03,strategic,4.1,calibration
CSAT_000132,2026-05-13,expert_review,TEAM_APAC_EXPERT_01,enterprise,4.6,calibration
CSAT_000133,2026-06-14,expert_review,TEAM_APAC_EXPERT_01,startup,4.2,communication
CSAT_000134,2026-04-16,audio_evaluation,TEAM_APAC_AUDIO_02,mid_market,4.1,accuracy
CSAT_000135,2026-04-08,code_review,TEAM_APAC_CODE_02,enterprise,4.3,tooling
CSAT_000136,2026-03-29,rlhf_evaluation,TEAM_APAC_RLHF_02,strategic,4.1,accuracy
CSAT_000137,2026-05-07,rlhf_evaluation,TEAM_APAC_RLHF_03,mid_market,4.0,calibration
CSAT_000138,2026-06-13,expert_review,TEAM_APAC_EXPERT_01,enterprise,4.4,handoff_quality
CSAT_000139,2026-06-06,rlhf_evaluation,TEAM_APAC_RLHF_03,strategic,4.2,handoff_quality
CSAT_000140,2026-05-06,rlhf_evaluation,TEAM_APAC_RLHF_01,enterprise,4.4,communication
CSAT_000141,2026-06-05,image_annotation,TEAM_APAC_IMAGE_04,enterprise,4.5,tooling
CSAT_000142,2026-05-13,expert_review,TEAM_APAC_EXPERT_01,enterprise,4.2,responsiveness
CSAT_000143,2026-03-18,image_annotation,TEAM_APAC_IMAGE_02,strategic,4.5,timeliness
CSAT_000144,2026-06-10,code_review,TEAM_APAC_CODE_01,mid_market,4.2,calibration
CSAT_000145,2026-04-03,image_annotation,TEAM_APAC_IMAGE_02,strategic,4.6,tooling
CSAT_000146,2026-05-01,rlhf_evaluation,TEAM_APAC_RLHF_03,enterprise,4.7,timeliness
CSAT_000147,2026-05-31,audio_evaluation,TEAM_APAC_AUDIO_03,mid_market,3.9,timeliness
CSAT_000148,2026-04-26,image_annotation,TEAM_APAC_IMAGE_01,startup,4.5,communication
CSAT_000149,2026-05-06,rlhf_evaluation,TEAM_APAC_RLHF_03,startup,4.5,tooling
CSAT_000150,2026-05-09,audio_evaluation,TEAM_APAC_AUDIO_02,mid_market,4.0,communication
CSAT_000151,2026-04-08,image_annotation,TEAM_APAC_IMAGE_02,enterprise,4.3,tooling
CSAT_000152,2026-04-08,expert_review,TEAM_APAC_EXPERT_02,strategic,4.2,handoff_quality
CSAT_000153,2026-03-20,rlhf_evaluation,TEAM_APAC_RLHF_01,enterprise,4.5,handoff_quality
CSAT_000154,2026-04-21,rlhf_evaluation,TEAM_APAC_RLHF_01,strategic,4.7,accuracy
CSAT_000155,2026-04-09,code_review,TEAM_APAC_CODE_02,strategic,4.3,responsiveness
CSAT_000156,2026-04-17,code_review,TEAM_APAC_CODE_02,enterprise,4.5,handoff_quality
CSAT_000157,2026-03-18,image_annotation,TEAM_APAC_IMAGE_03,strategic,4.8,accuracy
CSAT_000158,2026-06-12,expert_review,TEAM_APAC_EXPERT_02,enterprise,4.3,responsiveness
CSAT_000159,2026-06-05,image_annotation,TEAM_APAC_IMAGE_04,startup,4.7,handoff_quality
CSAT_000160,2026-05-22,rlhf_evaluation,TEAM_APAC_RLHF_02,strategic,3.9,communication
CSAT_000161,2026-03-21,audio_evaluation,TEAM_APAC_AUDIO_02,enterprise,4.2,calibration
CSAT_000162,2026-03-24,image_annotation,TEAM_APAC_IMAGE_03,enterprise,4.5,calibration
CSAT_000163,2026-05-18,expert_review,TEAM_APAC_EXPERT_01,mid_market,4.3,timeliness
CSAT_000164,2026-06-03,rlhf_evaluation,TEAM_APAC_RLHF_01,strategic,4.0,accuracy
CSAT_000165,2026-04-26,rlhf_evaluation,TEAM_APAC_RLHF_02,enterprise,4.3,responsiveness
CSAT_000166,2026-04-13,code_review,TEAM_APAC_CODE_03,enterprise,4.2,timeliness
CSAT_000167,2026-04-22,image_annotation,TEAM_APAC_IMAGE_03,enterprise,4.5,accuracy
CSAT_000168,2026-05-12,code_review,TEAM_APAC_CODE_03,strategic,4.7,accuracy
CSAT_000169,2026-05-22,image_annotation,TEAM_APAC_IMAGE_01,strategic,4.9,handoff_quality
CSAT_000170,2026-04-19,expert_review,TEAM_APAC_EXPERT_02,strategic,4.0,communication
CSAT_000171,2026-05-17,expert_review,TEAM_APAC_EXPERT_01,enterprise,4.3,timeliness
CSAT_000172,2026-05-12,audio_evaluation,TEAM_APAC_AUDIO_03,enterprise,4.3,communication
CSAT_000173,2026-05-17,expert_review,TEAM_APAC_EXPERT_02,enterprise,3.9,communication
CSAT_000174,2026-06-09,image_annotation,TEAM_APAC_IMAGE_01,strategic,4.6,communication
CSAT_000175,2026-05-21,expert_review,TEAM_APAC_EXPERT_01,enterprise,4.5,timeliness
CSAT_000176,2026-04-07,audio_evaluation,TEAM_APAC_AUDIO_03,startup,4.2,responsiveness
CSAT_000177,2026-04-06,audio_evaluation,TEAM_APAC_AUDIO_02,strategic,4.3,communication
CSAT_000178,2026-05-08,image_annotation,TEAM_APAC_IMAGE_02,enterprise,4.7,tooling
CSAT_000179,2026-05-03,rlhf_evaluation,TEAM_APAC_RLHF_03,mid_market,4.5,timeliness
CSAT_000180,2026-05-29,rlhf_evaluation,TEAM_APAC_RLHF_01,strategic,4.4,communication
CSAT_000181,2026-04-10,rlhf_evaluation,TEAM_APAC_RLHF_02,enterprise,4.3,responsiveness
CSAT_000182,2026-04-19,code_review,TEAM_APAC_CODE_01,enterprise,4.1,timeliness
CSAT_000183,2026-05-19,expert_review,TEAM_APAC_EXPERT_01,enterprise,4.4,handoff_quality
CSAT_000184,2026-05-05,rlhf_evaluation,TEAM_APAC_RLHF_02,mid_market,4.2,communication
CSAT_000185,2026-04-20,code_review,TEAM_APAC_CODE_01,mid_market,4.4,responsiveness
CSAT_000186,2026-04-29,rlhf_evaluation,TEAM_APAC_RLHF_02,mid_market,4.6,communication
CSAT_000187,2026-05-03,code_review,TEAM_APAC_CODE_02,mid_market,4.4,communication
CSAT_000188,2026-05-24,rlhf_evaluation,TEAM_APAC_RLHF_01,mid_market,4.5,calibration
CSAT_000189,2026-06-12,image_annotation,TEAM_APAC_IMAGE_02,enterprise,4.5,handoff_quality
CSAT_000190,2026-06-09,rlhf_evaluation,TEAM_APAC_RLHF_01,enterprise,3.9,timeliness
CSAT_000191,2026-06-14,image_annotation,TEAM_APAC_IMAGE_02,mid_market,4.3,accuracy
CSAT_000192,2026-05-21,code_review,TEAM_APAC_CODE_03,mid_market,4.2,handoff_quality
CSAT_000193,2026-05-29,rlhf_evaluation,TEAM_APAC_RLHF_02,strategic,4.5,responsiveness
CSAT_000194,2026-03-18,code_review,TEAM_APAC_CODE_02,enterprise,4.4,accuracy
CSAT_000195,2026-04-16,rlhf_evaluation,TEAM_APAC_RLHF_01,strategic,4.8,timeliness
CSAT_000196,2026-04-19,rlhf_evaluation,TEAM_APAC_RLHF_02,mid_market,4.2,tooling
CSAT_000197,2026-04-10,rlhf_evaluation,TEAM_APAC_RLHF_03,startup,4.2,handoff_quality
CSAT_000198,2026-03-28,expert_review,TEAM_APAC_EXPERT_01,enterprise,4.3,tooling
CSAT_000199,2026-06-08,code_review,TEAM_APAC_CODE_03,enterprise,4.2,timeliness
CSAT_000200,2026-04-15,expert_review,TEAM_APAC_EXPERT_02,mid_market,3.8,calibration
CSAT_000201,2026-04-08,code_review,TEAM_APAC_CODE_02,enterprise,4.1,calibration
CSAT_000202,2026-04-04,expert_review,TEAM_APAC_EXPERT_01,enterprise,3.7,timeliness
CSAT_000203,2026-05-28,expert_review,TEAM_APAC_EXPERT_01,mid_market,3.9,timeliness
CSAT_000204,2026-05-08,expert_review,TEAM_APAC_EXPERT_01,startup,4.1,accuracy
CSAT_000205,2026-05-20,code_review,TEAM_APAC_CODE_01,mid_market,4.0,timeliness
CSAT_000206,2026-06-12,image_annotation,TEAM_APAC_IMAGE_02,enterprise,4.4,tooling
CSAT_000207,2026-03-17,code_review,TEAM_APAC_CODE_01,enterprise,4.5,tooling
CSAT_000208,2026-05-19,expert_review,TEAM_APAC_EXPERT_01,strategic,4.6,calibration
CSAT_000209,2026-04-01,audio_evaluation,TEAM_APAC_AUDIO_03,mid_market,4.3,responsiveness
CSAT_000210,2026-03-28,expert_review,TEAM_APAC_EXPERT_02,strategic,4.2,accuracy
CSAT_000211,2026-04-12,rlhf_evaluation,TEAM_APAC_RLHF_03,enterprise,4.2,tooling
CSAT_000212,2026-05-14,image_annotation,TEAM_APAC_IMAGE_01,mid_market,4.5,accuracy
CSAT_000213,2026-05-22,code_review,TEAM_APAC_CODE_03,startup,4.0,accuracy
CSAT_000214,2026-05-07,image_annotation,TEAM_APAC_IMAGE_01,startup,4.5,responsiveness
CSAT_000215,2026-03-23,code_review,TEAM_APAC_CODE_01,enterprise,4.4,tooling
CSAT_000216,2026-05-13,audio_evaluation,TEAM_APAC_AUDIO_01,enterprise,4.7,timeliness
CSAT_000217,2026-05-31,code_review,TEAM_APAC_CODE_01,strategic,4.5,accuracy
CSAT_000218,2026-04-05,expert_review,TEAM_APAC_EXPERT_02,mid_market,4.5,timeliness
CSAT_000219,2026-04-01,rlhf_evaluation,TEAM_APAC_RLHF_01,strategic,4.7,handoff_quality
CSAT_000220,2026-05-26,code_review,TEAM_APAC_CODE_03,startup,4.8,timeliness
CSAT_000221,2026-05-01,expert_review,TEAM_APAC_EXPERT_02,mid_market,4.1,calibration
CSAT_000222,2026-06-11,image_annotation,TEAM_APAC_IMAGE_02,enterprise,4.1,calibration
CSAT_000223,2026-05-27,audio_evaluation,TEAM_APAC_AUDIO_02,mid_market,4.4,timeliness
CSAT_000224,2026-04-09,expert_review,TEAM_APAC_EXPERT_01,strategic,4.6,tooling
CSAT_000225,2026-06-15,code_review,TEAM_APAC_CODE_03,enterprise,4.1,accuracy
CSAT_000226,2026-06-01,image_annotation,TEAM_APAC_IMAGE_01,startup,4.5,handoff_quality
CSAT_000227,2026-03-24,expert_review,TEAM_APAC_EXPERT_02,enterprise,4.3,accuracy
CSAT_000228,2026-04-21,code_review,TEAM_APAC_CODE_01,mid_market,4.4,tooling
CSAT_000229,2026-06-05,image_annotation,TEAM_APAC_IMAGE_01,strategic,4.7,communication
CSAT_000230,2026-06-08,rlhf_evaluation,TEAM_APAC_RLHF_01,enterprise,4.5,timeliness
CSAT_000231,2026-04-11,audio_evaluation,TEAM_APAC_AUDIO_01,mid_market,5.0,calibration
CSAT_000232,2026-05-06,rlhf_evaluation,TEAM_APAC_RLHF_02,enterprise,4.1,accuracy
CSAT_000233,2026-04-22,image_annotation,TEAM_APAC_IMAGE_03,enterprise,4.3,communication
CSAT_000234,2026-05-30,expert_review,TEAM_APAC_EXPERT_01,startup,4.3,handoff_quality
CSAT_000235,2026-06-05,rlhf_evaluation,TEAM_APAC_RLHF_01,mid_market,4.1,timeliness
CSAT_000236,2026-04-09,code_review,TEAM_APAC_CODE_02,enterprise,3.9,timeliness
CSAT_000237,2026-04-28,code_review,TEAM_APAC_CODE_03,enterprise,4.2,timeliness
CSAT_000238,2026-03-27,audio_evaluation,TEAM_APAC_AUDIO_02,enterprise,4.3,timeliness
CSAT_000239,2026-04-10,code_review,TEAM_APAC_CODE_01,enterprise,4.3,calibration
CSAT_000240,2026-04-11,audio_evaluation,TEAM_APAC_AUDIO_03,mid_market,4.1,calibration
CSAT_000241,2026-05-11,rlhf_evaluation,TEAM_APAC_RLHF_01,enterprise,4.3,calibration
CSAT_000242,2026-06-03,audio_evaluation,TEAM_APAC_AUDIO_01,mid_market,4.3,handoff_quality
CSAT_000243,2026-04-15,image_annotation,TEAM_APAC_IMAGE_01,mid_market,4.6,tooling
CSAT_000244,2026-03-29,image_annotation,TEAM_APAC_IMAGE_03,enterprise,4.4,accuracy
CSAT_000245,2026-06-13,expert_review,TEAM_APAC_EXPERT_02,enterprise,4.3,tooling
CSAT_000246,2026-04-12,rlhf_evaluation,TEAM_APAC_RLHF_02,mid_market,4.4,responsiveness
CSAT_000247,2026-05-10,expert_review,TEAM_APAC_EXPERT_02,startup,4.0,timeliness
CSAT_000248,2026-04-13,code_review,TEAM_APAC_CODE_03,enterprise,4.3,communication
CSAT_000249,2026-05-03,image_annotation,TEAM_APAC_IMAGE_02,strategic,4.4,tooling
CSAT_000250,2026-06-07,rlhf_evaluation,TEAM_APAC_RLHF_02,mid_market,4.3,timeliness
CSAT_000251,2026-05-13,code_review,TEAM_APAC_CODE_01,strategic,4.2,handoff_quality
CSAT_000252,2026-04-21,rlhf_evaluation,TEAM_APAC_RLHF_01,enterprise,4.6,handoff_quality
CSAT_000253,2026-04-14,expert_review,TEAM_APAC_EXPERT_02,enterprise,4.6,communication
CSAT_000254,2026-05-08,image_annotation,TEAM_APAC_IMAGE_02,strategic,4.4,handoff_quality
CSAT_000255,2026-06-06,code_review,TEAM_APAC_CODE_02,strategic,3.9,communication
CSAT_000256,2026-04-12,expert_review,TEAM_APAC_EXPERT_01,startup,4.3,responsiveness
CSAT_000257,2026-03-24,code_review,TEAM_APAC_CODE_03,mid_market,4.1,accuracy
CSAT_000258,2026-04-15,image_annotation,TEAM_APAC_IMAGE_02,enterprise,4.7,handoff_quality
CSAT_000259,2026-04-22,code_review,TEAM_APAC_CODE_01,enterprise,4.2,calibration
CSAT_000260,2026-05-14,rlhf_evaluation,TEAM_APAC_RLHF_03,enterprise,4.3,timeliness
CSAT_000261,2026-05-13,expert_review,TEAM_APAC_EXPERT_01,enterprise,4.4,timeliness
CSAT_000262,2026-04-27,image_annotation,TEAM_APAC_IMAGE_02,startup,4.9,responsiveness
CSAT_000263,2026-05-04,image_annotation,TEAM_APAC_IMAGE_03,startup,4.7,tooling
CSAT_000264,2026-04-24,audio_evaluation,TEAM_APAC_AUDIO_01,enterprise,4.3,tooling
CSAT_000265,2026-03-27,expert_review,TEAM_APAC_EXPERT_02,mid_market,4.2,timeliness
CSAT_000266,2026-03-21,expert_review,TEAM_APAC_EXPERT_01,mid_market,4.2,calibration
CSAT_000267,2026-05-11,code_review,TEAM_APAC_CODE_03,enterprise,4.1,timeliness
CSAT_000268,2026-03-25,image_annotation,TEAM_APAC_IMAGE_03,startup,4.6,responsiveness
CSAT_000269,2026-05-30,audio_evaluation,TEAM_APAC_AUDIO_01,enterprise,4.0,timeliness
CSAT_000270,2026-03-27,audio_evaluation,TEAM_APAC_AUDIO_03,strategic,3.9,timeliness
