quality_event_id,work_item_id,contributor_id,reviewer_id,quality_score,gold_task_pass,reviewer_override,peer_agreement_score
QE_000118,WI_008975,CONTR_00294,REV_0027,87.1,True,False,0.77
QE_000119,WI_005318,CONTR_00102,REV_0028,91.9,True,False,0.85
QE_000120,WI_012099,CONTR_00122,REV_0020,99.0,True,False,0.77
QE_000121,WI_012910,CONTR_00192,REV_0029,94.2,True,False,0.97
QE_000122,WI_008359,CONTR_00247,REV_0003,83.3,False,True,0.65
QE_000123,WI_009653,CONTR_00214,REV_0005,86.8,False,False,0.81
QE_000124,WI_012391,CONTR_00137,REV_0009,90.0,True,False,0.76
QE_000125,WI_003728,CONTR_00282,REV_0013,86.7,True,False,0.96
QE_000126,WI_001111,CONTR_00170,REV_0017,90.9,True,True,0.86
QE_000127,WI_002897,CONTR_00110,REV_0001,91.8,True,True,0.87
QE_000128,WI_012400,CONTR_00335,REV_0028,96.2,True,False,0.84
QE_000129,WI_006526,CONTR_00420,REV_0004,88.6,True,False,0.81
QE_000130,WI_001547,CONTR_00172,REV_0016,88.8,True,False,0.89
QE_000131,WI_003044,CONTR_00166,REV_0002,86.8,True,False,0.84
QE_000132,WI_006726,CONTR_00415,REV_0026,97.4,True,False,0.75
QE_000133,WI_009093,CONTR_00300,REV_0003,77.9,False,False,0.86
QE_000134,WI_002108,CONTR_00021,REV_0009,95.4,True,False,0.96
QE_000135,WI_009010,CONTR_00039,REV_0005,88.5,True,False,0.87
QE_000136,WI_000822,CONTR_00036,REV_0028,94.9,True,False,0.8
QE_000137,WI_001598,CONTR_00426,REV_0008,87.4,True,False,0.82
QE_000138,WI_011196,CONTR_00249,REV_0024,83.8,True,False,0.86
QE_000139,WI_001801,CONTR_00403,REV_0016,84.7,False,False,0.78
QE_000140,WI_001749,CONTR_00149,REV_0004,87.6,False,False,0.9
QE_000141,WI_001814,CONTR_00276,REV_0003,87.5,True,False,0.84
QE_000142,WI_011779,CONTR_00147,REV_0013,91.6,True,False,0.8
QE_000143,WI_006633,CONTR_00173,REV_0030,83.8,True,True,0.87
QE_000144,WI_002500,CONTR_00208,REV_0004,90.5,True,False,0.97
QE_000145,WI_006943,CONTR_00395,REV_0028,81.1,False,False,0.79
QE_000146,WI_001287,CONTR_00096,REV_0020,94.6,True,False,0.77
QE_000147,WI_009472,CONTR_00025,REV_0003,83.4,False,False,0.84
QE_000148,WI_009799,CONTR_00433,REV_0023,84.6,True,False,0.84
QE_000149,WI_010479,CONTR_00170,REV_0002,84.2,True,False,0.82
QE_000150,WI_013792,CONTR_00081,REV_0001,99.0,True,False,0.75
QE_000151,WI_009613,CONTR_00026,REV_0022,92.5,True,False,0.94
QE_000152,WI_008475,CONTR_00161,REV_0027,82.7,False,False,0.72
QE_000153,WI_013195,CONTR_00086,REV_0029,90.9,True,False,0.99
QE_000154,WI_011957,CONTR_00004,REV_0007,91.8,True,False,0.88
QE_000155,WI_011143,CONTR_00168,REV_0003,91.7,True,False,0.98
QE_000156,WI_013476,CONTR_00121,REV_0001,82.4,True,False,0.93
QE_000157,WI_009887,CONTR_00167,REV_0029,87.0,True,False,0.94
QE_000158,WI_013245,CONTR_00159,REV_0017,83.7,True,True,0.9
QE_000159,WI_006081,CONTR_00091,REV_0020,93.0,True,False,0.91
QE_000160,WI_008692,CONTR_00147,REV_0014,89.2,True,False,0.95
QE_000161,WI_013220,CONTR_00423,REV_0010,93.0,True,False,0.89
QE_000162,WI_009820,CONTR_00131,REV_0019,89.3,True,True,0.85
QE_000163,WI_009029,CONTR_00189,REV_0008,93.5,True,False,0.79
QE_000164,WI_000872,CONTR_00431,REV_0011,90.0,True,False,0.79
QE_000165,WI_003935,CONTR_00370,REV_0001,89.5,True,False,0.99
QE_000166,WI_013866,CONTR_00154,REV_0027,87.7,True,False,0.76
QE_000167,WI_010685,CONTR_00074,REV_0027,85.4,True,False,0.86
QE_000168,WI_012310,CONTR_00030,REV_0001,97.2,True,False,0.85
QE_000169,WI_012448,CONTR_00166,REV_0004,93.0,True,False,0.94
QE_000170,WI_009707,CONTR_00432,REV_0001,81.7,False,False,0.94
QE_000171,WI_008438,CONTR_00328,REV_0020,91.3,True,False,0.72
QE_000172,WI_010025,CONTR_00167,REV_0021,90.9,True,False,0.87
QE_000173,WI_010227,CONTR_00037,REV_0013,87.2,True,False,0.94
QE_000174,WI_002693,CONTR_00197,REV_0014,88.5,True,False,0.89
QE_000175,WI_001481,CONTR_00276,REV_0024,78.9,False,False,0.88
QE_000176,WI_013452,CONTR_00002,REV_0027,84.7,True,False,0.83
QE_000177,WI_004675,CONTR_00222,REV_0013,85.4,True,False,0.8
QE_000178,WI_007596,CONTR_00179,REV_0009,93.7,True,False,0.92
QE_000179,WI_010886,CONTR_00154,REV_0011,89.1,True,False,0.73
QE_000180,WI_010869,CONTR_00235,REV_0017,90.5,True,False,0.76
QE_000181,WI_007564,CONTR_00368,REV_0003,94.2,True,False,0.92
QE_000182,WI_010133,CONTR_00160,REV_0020,87.4,True,False,0.89
QE_000183,WI_004418,CONTR_00230,REV_0005,86.6,True,True,0.87
QE_000184,WI_003146,CONTR_00389,REV_0017,92.8,True,False,0.78
QE_000185,WI_008609,CONTR_00330,REV_0011,83.4,True,False,0.89
QE_000186,WI_011525,CONTR_00324,REV_0004,96.6,True,False,0.79
QE_000187,WI_001863,CONTR_00298,REV_0029,83.1,True,False,0.58
QE_000188,WI_004330,CONTR_00292,REV_0028,73.3,False,False,0.99
QE_000189,WI_010577,CONTR_00060,REV_0026,93.1,True,False,0.84
QE_000190,WI_008968,CONTR_00253,REV_0011,87.3,True,False,0.8
QE_000191,WI_013326,CONTR_00179,REV_0026,83.9,True,False,0.79
QE_000192,WI_009692,CONTR_00176,REV_0027,83.5,True,False,0.92
QE_000193,WI_006401,CONTR_00088,REV_0008,85.6,True,False,0.86
QE_000194,WI_013582,CONTR_00378,REV_0005,91.5,True,True,0.91
QE_000195,WI_001278,CONTR_00395,REV_0024,88.4,True,False,0.77
QE_000196,WI_006358,CONTR_00235,REV_0012,81.9,False,False,0.78
QE_000197,WI_001485,CONTR_00400,REV_0019,88.4,True,False,0.9
QE_000198,WI_010092,CONTR_00144,REV_0028,86.6,True,False,0.82
QE_000199,WI_003795,CONTR_00348,REV_0009,92.3,True,False,0.79
QE_000200,WI_005849,CONTR_00080,REV_0013,87.3,False,False,0.67
QE_000201,WI_004515,CONTR_00411,REV_0024,92.7,True,False,0.91
QE_000202,WI_004654,CONTR_00110,REV_0022,89.4,False,False,0.87
QE_000203,WI_006289,CONTR_00193,REV_0026,89.1,True,False,0.99
QE_000204,WI_004900,CONTR_00381,REV_0018,88.2,True,False,0.88
QE_000205,WI_013655,CONTR_00175,REV_0012,98.0,True,False,0.78
QE_000206,WI_011156,CONTR_00278,REV_0015,92.9,True,False,0.94
QE_000207,WI_009702,CONTR_00166,REV_0001,89.4,True,False,0.97
QE_000208,WI_008671,CONTR_00301,REV_0016,80.3,False,False,0.77
QE_000209,WI_012563,CONTR_00382,REV_0020,80.8,False,False,0.83
QE_000210,WI_010443,CONTR_00041,REV_0013,85.9,False,False,0.82
QE_000211,WI_008998,CONTR_00059,REV_0020,97.3,True,False,0.92
QE_000212,WI_009906,CONTR_00413,REV_0020,87.1,False,True,0.99
QE_000213,WI_005557,CONTR_00375,REV_0002,84.5,True,False,0.91
QE_000214,WI_008807,CONTR_00309,REV_0005,80.4,False,False,0.81
QE_000215,WI_002577,CONTR_00036,REV_0009,94.7,True,False,0.87
QE_000216,WI_001252,CONTR_00270,REV_0012,88.9,False,False,0.69
QE_000217,WI_001212,CONTR_00040,REV_0018,92.6,True,False,0.73
QE_000218,WI_005490,CONTR_00148,REV_0021,93.3,True,False,0.96
QE_000219,WI_005878,CONTR_00079,REV_0009,94.2,True,True,0.89
QE_000220,WI_011887,CONTR_00256,REV_0026,80.4,False,False,0.84
QE_000221,WI_003144,CONTR_00431,REV_0027,88.2,True,False,0.87
QE_000222,WI_013339,CONTR_00195,REV_0027,93.5,True,False,0.78
QE_000223,WI_009008,CONTR_00153,REV_0008,91.4,True,False,0.96
QE_000224,WI_007159,CONTR_00244,REV_0018,92.7,True,False,0.89
QE_000225,WI_005464,CONTR_00039,REV_0016,88.6,True,False,0.81
QE_000226,WI_005899,CONTR_00265,REV_0021,85.4,True,False,0.78
QE_000227,WI_005337,CONTR_00199,REV_0016,83.4,False,False,0.99
QE_000228,WI_000567,CONTR_00301,REV_0017,90.7,True,False,0.87
QE_000229,WI_009321,CONTR_00274,REV_0021,70.7,False,False,0.73
QE_000230,WI_007903,CONTR_00228,REV_0029,89.2,True,False,0.83
QE_000231,WI_011843,CONTR_00130,REV_0019,90.6,True,False,0.84
QE_000232,WI_003901,CONTR_00379,REV_0024,95.6,True,False,0.86
QE_000233,WI_006403,CONTR_00393,REV_0019,90.9,True,True,0.86
QE_000234,WI_004334,CONTR_00057,REV_0013,94.1,True,False,0.9
QE_000235,WI_008884,CONTR_00157,REV_0011,94.4,True,False,0.73
QE_000236,WI_004635,CONTR_00087,REV_0001,98.5,True,False,0.8
QE_000237,WI_010361,CONTR_00251,REV_0012,87.5,True,False,0.78
QE_000238,WI_009218,CONTR_00175,REV_0010,80.4,False,False,0.99
QE_000239,WI_007657,CONTR_00169,REV_0019,84.8,False,False,0.85
QE_000240,WI_000795,CONTR_00255,REV_0004,88.6,True,False,0.78
QE_000241,WI_004506,CONTR_00268,REV_0012,84.9,True,False,0.88
QE_000242,WI_001915,CONTR_00142,REV_0016,91.5,True,False,0.8
QE_000243,WI_008195,CONTR_00093,REV_0017,93.8,True,False,0.83
QE_000244,WI_003718,CONTR_00124,REV_0019,93.0,True,False,0.76
QE_000245,WI_000332,CONTR_00406,REV_0012,97.1,True,False,0.89
QE_000246,WI_012316,CONTR_00179,REV_0017,88.5,True,False,0.93
QE_000247,WI_005169,CONTR_00402,REV_0002,89.4,True,False,0.66
QE_000248,WI_010062,CONTR_00315,REV_0017,93.1,True,False,0.92
QE_000249,WI_010499,CONTR_00164,REV_0004,94.2,True,False,0.9
QE_000250,WI_004017,CONTR_00092,REV_0009,99.0,True,False,0.87
QE_000251,WI_002662,CONTR_00278,REV_0025,80.3,False,True,0.62
QE_000252,WI_004627,CONTR_00412,REV_0025,77.0,False,True,0.81
QE_000253,WI_011639,CONTR_00355,REV_0020,91.0,True,False,0.84
QE_000254,WI_009205,CONTR_00388,REV_0022,85.5,True,False,0.9
QE_000255,WI_002214,CONTR_00348,REV_0006,82.1,True,False,0.8
QE_000256,WI_007659,CONTR_00004,REV_0022,93.2,True,False,0.85
QE_000257,WI_001898,CONTR_00201,REV_0006,91.3,True,False,0.85
QE_000258,WI_009133,CONTR_00315,REV_0010,88.4,True,False,0.99
QE_000259,WI_011921,CONTR_00182,REV_0002,68.7,False,False,0.92
QE_000260,WI_011187,CONTR_00113,REV_0001,94.8,True,False,0.87
QE_000261,WI_010912,CONTR_00005,REV_0019,88.1,True,False,0.99
QE_000262,WI_013417,CONTR_00157,REV_0008,90.0,True,False,0.85
QE_000263,WI_005670,CONTR_00040,REV_0007,93.5,True,False,0.86
QE_000264,WI_011313,CONTR_00198,REV_0027,93.2,True,False,0.94
QE_000265,WI_007329,CONTR_00198,REV_0002,91.4,True,False,0.92
QE_000266,WI_009353,CONTR_00095,REV_0024,93.0,True,False,0.82
QE_000267,WI_011820,CONTR_00379,REV_0006,89.2,True,True,0.96
QE_000268,WI_005810,CONTR_00407,REV_0030,86.2,True,False,0.83
QE_000269,WI_009841,CONTR_00017,REV_0007,84.6,False,False,0.64
QE_000270,WI_008415,CONTR_00288,REV_0012,78.0,False,False,0.89
QE_000271,WI_004572,CONTR_00052,REV_0022,89.9,True,False,0.88
QE_000272,WI_002956,CONTR_00346,REV_0011,86.9,False,False,0.83
QE_000273,WI_001942,CONTR_00054,REV_0012,95.3,True,False,0.97
QE_000274,WI_002542,CONTR_00238,REV_0017,74.0,False,False,0.75
QE_000275,WI_007756,CONTR_00129,REV_0005,94.7,True,False,0.96
QE_000276,WI_013543,CONTR_00070,REV_0023,83.8,False,True,0.77
QE_000277,WI_013816,CONTR_00291,REV_0013,81.3,False,False,0.85
QE_000278,WI_000273,CONTR_00217,REV_0025,89.9,True,False,0.88
QE_000279,WI_011580,CONTR_00034,REV_0025,91.2,True,False,0.82
QE_000280,WI_008414,CONTR_00262,REV_0017,84.0,True,False,0.95
QE_000281,WI_006826,CONTR_00416,REV_0001,80.1,True,True,0.82
QE_000282,WI_000241,CONTR_00261,REV_0009,85.6,True,False,0.71
QE_000283,WI_009869,CONTR_00211,REV_0020,87.6,True,False,0.91
QE_000284,WI_004084,CONTR_00365,REV_0014,93.1,True,False,0.87
QE_000285,WI_005255,CONTR_00171,REV_0012,92.4,True,False,0.81
QE_000286,WI_010497,CONTR_00404,REV_0023,92.9,True,False,0.88
QE_000287,WI_012653,CONTR_00386,REV_0014,94.3,True,False,0.78
QE_000288,WI_000056,CONTR_00163,REV_0029,85.7,True,False,0.77
QE_000289,WI_013972,CONTR_00120,REV_0004,96.6,True,False,0.85
QE_000290,WI_003750,CONTR_00099,REV_0030,89.8,True,False,0.8
QE_000291,WI_003228,CONTR_00031,REV_0022,96.6,True,False,0.86
QE_000292,WI_003605,CONTR_00248,REV_0024,87.7,False,False,0.82
QE_000293,WI_012984,CONTR_00102,REV_0004,88.5,True,False,0.73
QE_000294,WI_004336,CONTR_00251,REV_0008,86.1,False,False,0.85
QE_000295,WI_003666,CONTR_00087,REV_0008,99.0,True,False,0.86
QE_000296,WI_003691,CONTR_00303,REV_0022,92.2,True,False,0.85
QE_000297,WI_009818,CONTR_00294,REV_0017,88.5,True,False,0.74
QE_000298,WI_012933,CONTR_00077,REV_0020,87.9,True,False,0.92
QE_000299,WI_002456,CONTR_00064,REV_0016,85.1,False,False,0.85
QE_000300,WI_012124,CONTR_00089,REV_0023,94.2,True,False,0.84
QE_000301,WI_004179,CONTR_00376,REV_0027,96.7,True,False,0.81
QE_000302,WI_008904,CONTR_00435,REV_0023,90.7,True,False,0.83
QE_000303,WI_002863,CONTR_00144,REV_0021,87.2,True,False,0.94
QE_000304,WI_013959,CONTR_00323,REV_0019,92.0,True,False,0.85
QE_000305,WI_004024,CONTR_00112,REV_0019,93.9,True,False,0.93
QE_000306,WI_001219,CONTR_00195,REV_0001,87.9,True,False,0.99
QE_000307,WI_009363,CONTR_00145,REV_0020,82.0,False,False,0.95
QE_000308,WI_003773,CONTR_00300,REV_0014,94.4,True,False,0.76
QE_000309,WI_005117,CONTR_00147,REV_0023,89.1,True,False,0.77
QE_000310,WI_003650,CONTR_00146,REV_0016,89.5,True,False,0.94
QE_000311,WI_007060,CONTR_00199,REV_0021,74.1,False,False,0.9
QE_000312,WI_003896,CONTR_00420,REV_0010,91.8,True,False,0.99
QE_000313,WI_007295,CONTR_00286,REV_0004,92.1,True,False,0.85
QE_000314,WI_009462,CONTR_00338,REV_0007,90.1,True,False,0.99
QE_000315,WI_001627,CONTR_00328,REV_0004,87.6,True,False,0.92
QE_000316,WI_009637,CONTR_00347,REV_0028,89.6,True,False,0.99
QE_000317,WI_002143,CONTR_00364,REV_0012,96.7,True,False,0.99
QE_000318,WI_001886,CONTR_00143,REV_0030,91.1,True,False,0.99
QE_000319,WI_012394,CONTR_00063,REV_0011,91.9,False,False,0.81
QE_000320,WI_000433,CONTR_00246,REV_0001,91.6,True,False,0.89
QE_000321,WI_000911,CONTR_00185,REV_0023,85.4,True,False,0.85
QE_000322,WI_003394,CONTR_00121,REV_0008,89.5,True,False,0.74
QE_000323,WI_012126,CONTR_00274,REV_0018,85.0,False,False,0.8
QE_000324,WI_006679,CONTR_00356,REV_0006,85.9,True,False,0.85
QE_000325,WI_010026,CONTR_00012,REV_0007,85.0,False,False,0.99
QE_000326,WI_007924,CONTR_00294,REV_0029,89.0,False,False,0.86
QE_000327,WI_008360,CONTR_00355,REV_0017,87.9,True,False,0.87
QE_000328,WI_004790,CONTR_00089,REV_0018,92.9,True,False,0.88
QE_000329,WI_003672,CONTR_00148,REV_0022,84.6,True,False,0.87
QE_000330,WI_007552,CONTR_00135,REV_0008,99.0,True,False,0.76
QE_000331,WI_012967,CONTR_00117,REV_0009,90.7,True,False,0.98
QE_000332,WI_000416,CONTR_00294,REV_0015,96.0,True,False,0.93
QE_000333,WI_010900,CONTR_00101,REV_0015,93.2,True,False,0.86
QE_000334,WI_013009,CONTR_00250,REV_0015,85.7,False,False,0.92
QE_000335,WI_004353,CONTR_00078,REV_0012,99.0,True,False,0.92
QE_000336,WI_000110,CONTR_00196,REV_0028,91.8,True,False,0.75
QE_000337,WI_009997,CONTR_00166,REV_0013,84.4,False,False,0.83
QE_000338,WI_009733,CONTR_00047,REV_0028,93.8,True,False,0.79
QE_000339,WI_006511,CONTR_00160,REV_0011,82.6,True,False,0.89
QE_000340,WI_004081,CONTR_00213,REV_0009,79.7,True,False,0.97
QE_000341,WI_003581,CONTR_00386,REV_0004,83.9,True,False,0.93
QE_000342,WI_005506,CONTR_00031,REV_0014,84.8,True,False,0.81
QE_000343,WI_000643,CONTR_00195,REV_0018,88.7,True,False,0.99
QE_000344,WI_000393,CONTR_00085,REV_0003,91.6,True,False,0.99
QE_000345,WI_000165,CONTR_00250,REV_0007,97.6,True,False,0.77
QE_000346,WI_012875,CONTR_00141,REV_0028,91.2,True,False,0.8
QE_000347,WI_002121,CONTR_00026,REV_0024,93.2,True,True,0.92
QE_000348,WI_010169,CONTR_00411,REV_0023,85.9,False,False,0.7
QE_000349,WI_009781,CONTR_00186,REV_0008,86.6,True,False,0.97
QE_000350,WI_009837,CONTR_00285,REV_0019,79.9,False,False,0.79
QE_000351,WI_000684,CONTR_00212,REV_0028,82.9,True,False,0.83
QE_000352,WI_005024,CONTR_00098,REV_0002,91.6,True,False,0.76
QE_000353,WI_003873,CONTR_00183,REV_0015,77.3,False,False,0.84
QE_000354,WI_000221,CONTR_00272,REV_0010,83.4,True,False,0.86
QE_000355,WI_012178,CONTR_00095,REV_0024,91.9,True,False,0.73
QE_000356,WI_000986,CONTR_00181,REV_0012,88.4,True,False,0.88
QE_000357,WI_000277,CONTR_00154,REV_0028,82.3,True,False,0.94
QE_000358,WI_009600,CONTR_00198,REV_0018,84.7,True,False,0.85
QE_000359,WI_000196,CONTR_00181,REV_0021,83.2,False,False,0.78
QE_000360,WI_009514,CONTR_00228,REV_0016,81.5,False,False,0.89
QE_000361,WI_002888,CONTR_00231,REV_0013,92.7,True,True,0.81
QE_000362,WI_008611,CONTR_00164,REV_0018,93.0,True,False,0.92
QE_000363,WI_002364,CONTR_00176,REV_0020,88.1,True,False,0.79
QE_000364,WI_001332,CONTR_00146,REV_0007,91.6,True,False,0.82
QE_000365,WI_013566,CONTR_00347,REV_0013,91.3,True,False,0.81
